"chain","step","stage","path","mae","mae_similarity_percent","rmse","psnr_db","ssim","incremental_mae","incremental_similarity_percent","mean_delta_r","mean_delta_g","mean_delta_b"
"raw","1","gemini","raw_chain/pass_01/gemini_1024.png","2.7407124042510986","98.92521082186232","4.335508823394775","35.390002120416796","0.9619570550445983","2.7407124042510986","98.92521082186232","-1.2430801391601562","-1.9366827011108398","-2.2860326766967773"
"raw","2","gemini","raw_chain/pass_02/gemini_1024.png","4.342809200286865","98.29693756851495","6.353954315185547","32.069921850018474","0.9450253405973816","2.1071360111236572","99.17367215250053","-2.308760643005371","-3.6657609939575195","-4.257258415222168"
"raw","3","gemini","raw_chain/pass_03/gemini_1024.png","6.023181915283203","97.63796787635954","8.493124008178711","29.549454303306536","0.9261552680171626","2.080467939376831","99.18413021985222","-3.456191062927246","-5.373747825622559","-6.246216773986816"
"raw","4","gemini","raw_chain/pass_04/gemini_1024.png","7.608232021331787","97.01637959947773","10.560266494750977","27.657306048247015","0.9047583984847725","1.9588056802749634","99.23184090969609","-4.549228668212891","-6.949230194091797","-8.0807466506958"
"raw","5","gemini","raw_chain/pass_05/gemini_1024.png","9.113419532775879","96.42610998714672","12.539427757263184","26.16524925443671","0.8829989523594407","1.9043474197387695","99.25319709029851","-5.57314395904541","-8.421769142150879","-9.66986083984375"
"corrected","1","gemini_before_correction","corrected_chain/pass_01/gemini_1024.png","2.7407124042510986","98.92521082186232","4.335508823394775","35.390002120416796","0.9619570550445983","2.7407124042510986","98.92521082186232","-1.2430801391601562","-1.9366827011108398","-2.2860326766967773"
"corrected","1","corrected_after_model","corrected_chain/pass_01/corrected_1024.png","2.126906156539917","99.16591915429808","3.842736005783081","36.43799261556603","0.9666273428122351","2.126906156539917","99.16591915429808","-0.4246816635131836","-0.4967479705810547","-0.5997343063354492"
"corrected","2","gemini_before_correction","corrected_chain/pass_02/gemini_1024.png","3.456575393676758","98.64448023777382","5.420228958129883","33.45045096591054","0.9514602010614189","2.1298210620880127","99.16477605408313","-1.6068124771118164","-2.3836441040039062","-2.861781120300293"
"corrected","2","corrected_after_model","corrected_chain/pass_02/corrected_1024.png","2.9955949783325195","98.82525687124215","5.262017250061035","33.707758259363715","0.9520983110831241","1.4416621923446655","99.4346422775119","-0.7897310256958008","-0.9564619064331055","-1.1728105545043945"
"corrected","3","gemini_before_correction","corrected_chain/pass_03/gemini_1024.png","4.140712261199951","98.37619127011766","6.5850348472595215","31.759642057856002","0.9365202759395822","1.8767369985580444","99.26402470644783","-1.7254047393798828","-2.6597518920898438","-3.1782407760620117"
"corrected","3","corrected_after_model","corrected_chain/pass_03/corrected_1024.png","3.7480316162109375","98.53018367991729","6.552587509155273","31.802547016338465","0.9351756938351922","1.2310680150985718","99.51722822937312","-0.8951587677001953","-1.2203197479248047","-1.4710502624511719"
"corrected","4","gemini_before_correction","corrected_chain/pass_04/gemini_1024.png","3.988039016723633","98.43606313069661","6.597675800323486","31.742984185310394","0.9228289254471981","2.184415817260742","99.14336634617226","0.06450366973876953","-1.4280433654785156","-1.350478172302246"
"corrected","4","corrected_after_model","corrected_chain/pass_04/corrected_1024.png","3.9155502319335938","98.46449010512409","6.8254313468933105","31.44820155477187","0.9202840918134129","2.153897523880005","99.15533430436079","0.9005069732666016","0.04882049560546875","0.37212562561035156"
"corrected","5","gemini_before_correction","corrected_chain/pass_05/gemini_1024.png","4.57335901260376","98.20652587741029","7.6157660484313965","30.496531722148287","0.9104461142504469","1.8259897232055664","99.28392559874291","-0.005026817321777344","-1.6263628005981445","-1.4703645706176758"
"corrected","5","corrected_after_model","corrected_chain/pass_05/corrected_1024.png","4.526870250701904","98.22475676443062","7.892962455749512","30.18600286842025","0.9067167447657064","1.2148126363754272","99.5236028876959","0.83441162109375","-0.15570545196533203","0.25374698638916016"
