model,samples,base_mean,corrected_mean,mean_delta,balanced_delta,median_delta,min_delta,max_delta,improved,worse
current_linear,342,98.65082020849663,99.09348064763822,0.44266043914158165,0.46626597439167883,0.3821949631560031,-0.573801713831287,2.1977124494664935,315,27
dc_separated_linear,342,98.65082020849663,99.01433764367086,0.36351743517423196,0.37780723188332216,0.3535130444694943,-0.6631699730368297,1.8577781378054112,295,47
nonlinear_color_texture_frequency_mlp,342,98.65082020849663,99.02307759639696,0.3722573879003274,0.3425083557436332,0.3322004336936857,-1.1695097007003454,2.7978322085212426,281,61
phase_residual_cnn,342,98.65082020849663,98.85275895288848,0.20193874439186751,0.16615555207462648,0.11872005210641845,-0.8188234591016652,1.8144121357038898,265,77
hybrid_linear_mlp_cnn_gate,342,98.65082020849663,99.11451671270127,0.46369650420464104,0.48444058791411987,0.39684096972146676,-0.7590196646896175,2.4206535021464077,325,17
