model,samples,base_mean,corrected_mean,mean_delta,balanced_delta,median_delta,min_delta,max_delta,improved,worse
current_linear,10,97.99134747187296,98.35895752439312,0.3676100525201548,0.3676100525201548,0.3957135537091432,-0.0494335211959509,0.7691286124435237,9,1
dc_separated_linear,10,97.99134747187296,98.35233332129084,0.3609858494178937,0.3609858494178937,0.3863943791856954,-0.06748367758358143,0.7655012841318296,9,1
nonlinear_color_texture_frequency_mlp,10,97.99134747187296,98.35504030713848,0.36369283526551327,0.36369283526551327,0.39200983795465305,-0.06161212921142578,0.6849782607134642,9,1
phase_residual_cnn,10,97.99134747187296,98.04761654722924,0.056269075356277655,0.056269075356277655,0.05254904429117602,-0.23724397023519828,0.3987256218405406,8,2
hybrid_linear_mlp_cnn_gate,10,97.99134747187296,98.36922003241145,0.37787256053849916,0.37787256053849916,0.41101310767380284,-0.06003267624798525,0.7716122795553844,9,1
